Age,Usedfor,Date,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,SidesEffects,UsefulCount,,Sentiment,Topic Discussion
65-74,High Blood Pressure,4/3/2009,AmoxID1,5,5,"i take this drug daily with morvasc to control my high blood pressure.  It usually keeps my blood pressure around 125/85, plus or minus.",5,Male,,2,,,
55-64,High Blood Pressure,4/2/2009,AmoxID1,4,5,I posted a self review yesterday but after reading some of the complants from people I realise I have had alot of the problems as well. After a day or two taking AmoxID1 I started tossing & turning in bed not able to sleep because my musles were sore. I thought I was getting fibromialgia. (can't spell) I will say it has gone away now but I still have this wad of flim in my throat I just can't seem to swallow. It does work for me if I can do somthing about this flim. My BP was 134/ 82 at the Dr's office the other day and it hasen't been that low for a long time. I also get very tired very quick and just don't feel like doing a thing. The DR dismissed it as being lazy but I think it is the medicine. I'm 62 and what I think is fairly healthy for that age. I was wondering if anyone has had the flim in the throat?,2,Male,,15,,,
65-74,High Blood Pressure,4/2/2009,AmoxID1,1,1,"Was prescribed as a generic replacement to Diovan. I ended up with a cough, sometimes very strong, day and night. Once off the AmoxID1 the cough was gone in 7 weeks. I went back to the Diovan.",1,Male,,3,,,
65-74,Heart Attack,4/2/2009,AmoxID1,2,2,"I don't know if this medicine helps, but it causes lighted headedness and dizziness which is very extremely bothersome.",2,Male,,3,,,
55-64,High Blood Pressure,4/2/2009,AmoxID1,2,2,"spasmatic cough -- especially at night.  I've been with 5 mg and I have mildly high blood pressure, I don't smoke, not over-weight -- my dr is now going to put me on cozaar.",1,Female,,3,,,
55-64,High Blood Pressure,4/2/2009,AmoxID1,4,4,Only experienced one side effect after taking AmoxID1 for 2 1/2 months. My libido went from very strong to ZERO! Same with performance. Seeing Doc tomorrow. ,1,Male,,6,,,
45-54,High Blood Pressure,4/2/2009,AmoxID1,5,4,"AmoxID1 has lowered my blood pressure.  I have been on this medication for about 3 years. However, I am constantly dizzy.  I did experience the dry cough for a few months, but that went away. My vision is somewhat blurry at times too. If I forget to take it for a day, I get terrible diarrhea.  Has anyone stopped taking this and found a more suitable medication?",3,Female,,9,,,
55-64,High Blood Pressure,4/1/2009,AmoxID1,4,4,I have read 50 to 60 comments I seem to be getting along better than most. I'm having a problem with a what I call flim in my throat that I can't seem to swallow. I have tryed to gargle it away. I've tryed to eat bread but I can't swallow it. As I'm typing this there is a jag of it in my throat right now and it's driving me crazy. Other than that and getting tired really really fast I must be doing OK. Has any one had a lump of flim in their throat that no matter what they do you just can't swallow it?,4,Male,,7,,,
25-34,High Blood Pressure,4/1/2009,AmoxID1,4,.,I had the coughing when I first got the medication but after 6 months it went away. It does make me very tierd but I use it right before I go to sleep and this seems to help with that issue. Been on lots of bp meds this has the least side effects for me,4,Male,,3,,,
55-64,High Blood Pressure,3/31/2009,AmoxID1,5,1,"I was on this medication for approx 3 months, developed awful cold, then the coughing started.  Cold went away but the coughing attacks intensified, especially at night.  Blood pressure increased to high again.  AmoxID1 did not work for me. Doctor switched me to Diovan HCT.  Hopefully this will work better.",1,Female,,4,,,
35-44,High Blood Pressure,3/31/2009,AmoxID1,4,3,After taking this medication for almost two weeks I have developed that awful cough .. I was told to take one 10mg tablet every day I am stopping and going back to see my physician this cough is awful...what other options are there? Do they all come with some type of side effect?,2,Female,,9,,,
65-74,High Blood Pressure,3/31/2009,AmoxID1,5,3,I developed a very dry cough and running nose with episodes sometimes very bad ,1,Female,,7,,,
45-54,High Blood Pressure,3/31/2009,AmoxID1,5,5,absolutely no side effects at all and blood pressure from 200/100 to 130/80..,5,Male,,7,,,
35-44,High Blood Pressure,3/31/2009,AmoxID1,5,5,"I have been taking this drug for a little over a month.  I was aware the cough was the most common side effect, but was unaware of the anxiety, sleep disruptions, low sex drive and loss of concentration until I started reading the other comments.  I have all of these symptoms, so I called my doc today to have my meds changed.  I hope I can find something without all of these side effects.",1,Female,,11,,,
65-74,High Blood Pressure,3/31/2009,AmoxID1,5,5,dizzey,5,Male,,2,,,
55-64,High Blood Pressure,3/31/2009,AmoxID1,4,3, ,3,Male,,0,,,
45-54,High Blood Pressure,3/30/2009,AmoxID1,2,5,"makes me feel weak, low energy",3,Male,,6,,,
65-74,High Blood Pressure,3/30/2009,AmoxID1,3,3,Dry cough constantly.  driving me crazy.  Will discontinue and call my Doctor.,2,Male,,2,,,
45-54,High Blood Pressure,3/29/2009,AmoxID1,4,4, ,4,Male,,1,,,
35-44,High Blood Pressure,3/28/2009,AmoxID1,5,5,I have been on the drug for over 3 yrs.  I have gotten BP under control.  Haven't experienced the coughing that people are commenting on though.,5,Female,,5,,,
55-64,High Blood Pressure,3/28/2009,AmoxID1,5,5,lowered blood pressure to nornal range.,5,Male,,3,,,
55-64,High Blood Pressure,3/28/2009,AmoxID1,3,3,I am experiencing leg cramping at night,3,Female,,7,,,
25-34,High Blood Pressure,3/28/2009,AmoxID1,5,3,"Anxiety attacks, racing pulse at times (120's), my heart feels like it's going to pound out of my chest at night, severe fatigue, muscle soreness in my arms, shoulders and neck, And after reading other reviews I now know why.  Took my last one last night-going to see doc on Monday.  ",1,Female,,17,,,
35-44,High Blood Pressure,3/28/2009,AmoxID1,5,1,"After taking this drug for one month(5mg)and my doctor taking me off Zebeta my blood pressure went up drastically. My doctor felt that I needed to up the dose to (10mg)- and it did not help! (160/113 p114)  This drug caused aweful side effects including a deep cough. I went back in to the doctor because I thought maybe something was wrong with my home bp cuff...it wasn't wrong - my bp was going up and getting worse.  She took me off and put me back on Zebeta (10mg) and the pressure this morning is back to 124/82 p 67.  

I really believe if I kept taking this drug it would have led to a heart attack based on my body reaction.",1,Male,,2,,,
35-44,High Blood Pressure,3/28/2009,AmoxID1,4,3,"I have been taking 10mg 2x daily for about 1 year and it has lowered my bloodpressure, 129/89. Tonight in a desperate attempt to get information on my severe cough and asthma/bronchial spasms, I accidentally ran into an article linking AmoxID1. It never crossed my mind that this could be the reason for my severe allergy and asthma attacks. Since the begining of 2009, I have been treated three times with the Z-pak and have to keep my albutorol inhaler on my person. One incident was so severe, I had to be taken to the ER. These coughing attacks usually occur at nights. I have an appointment to see an allergist/immunologist for next week. Reading about 100 of these reviews tonight have brought tears to my eyes because of how much I have been suffering with these symptoms over the past year. I will stop this medication immediately and will see my Dr on Monday. I do also experience extreme fatigue, extreme heartburn, weightgain and lightheadedness quite regularly. This is amazing.     ",3,Female,,16,,,
55-64,High Blood Pressure,3/27/2009,AmoxID1,4,3,New,3,Male,,0,,,
45-54,High Blood Pressure,3/27/2009,AmoxID1,4,2,"Foot cramps at night, coughing, scratchy throat, shortness of breath, anxiety attacks, dizziness, diarreah, runny nose,  and it seemed to get worse every day. This is a horrible poison. From now on, I will check this website before purchasing meds. I suggest you ask your doctor for samples because it seems that bp meds all have side effects, and you have to choose the one that will affect you the least. Bad medicine! ",1,Female,,14,,,
55-64,High Blood Pressure,3/26/2009,AmoxID1,4,3,"Well I was very surprised after reading at least 30 reviews; but now I know why I have my coughing, especially at night. I have been on this med since Jan 2006. Due to my multi-level disk desinegration & bulging disks I figured that was why my BP was often unstable & in the low high range for HBP..I need to see a doctor about possibly changing this med to something else.",3,Female,,6,,,
35-44,High Blood Pressure,3/26/2009,AmoxID1,5,4, ,5,Female,,0,,,
55-64,High Blood Pressure,3/26/2009,AmoxID1,3,3,"After taking 10MG daily for just 2 weeks I started experiencing shortness of breath, anxiety attacks at night, slight dizziness, fatigue, blurred vision and pain in the chest, back of neck and right arm.  After reviewing over 500 of these reviews I am now convinced that these symptoms are related to AmoxID1. I definitely need to address my BP problem, but not be with this drug!",1,Male,,17,,,
35-44,High Blood Pressure,3/26/2009,AmoxID1,3,4, ,3,Female,,0,,,
35-44,High Blood Pressure,3/26/2009,AmoxID1,5,5, ,5,Female,,0,,,
65-74,High Blood Pressure,3/26/2009,AmoxID1,5,3,"I was on 10mg/day and it was not working. The doctor increased it to 20mg/day and seems to be working, have not been on 20mg long enough to tell.  I now have metalec taste in my mouth 24/7.",3,Male,,0,,,
45-54,High Blood Pressure,3/25/2009,AmoxID1,4,1,"Tired, heavy head feeling, burning of ears...",1,Male,,3,,,
65-74,High Blood Pressure,3/24/2009,AmoxID1,5,5,I have high (systolic) blood pressure. This pill is doing very well for me keeping me in the 120 & 130's.  ,5,Female,,3,,,
35-44,High Blood Pressure,3/23/2009,AmoxID1,1,4,"I started taking AmoxID1 20mg Nov. 12, 2008. I've never smoked poison ivy before, but that's how I describe the constant side effect. Sinus and upper jawbone/gums, upper chest. Does keep the BP down.",2,Male,,8,,,
35-44,High Blood Pressure,3/23/2009,AmoxID1,5,5, ,4,Male,,2,,,
45-54,High Blood Pressure,3/23/2009,AmoxID1,5,1,THIS MEDICINE CAUSED ME TO HAVE EXTREME HEART POUNDING. AT TIMES I THOUGHT FOR SURE I WAS HAVEING A HEART ATTACK.,1,Female,,11,,,
25-34,High Blood Pressure,3/23/2009,AmoxID1,5,1,"This medication caused severe swelling of my upper lip after only one 10 mg dose.  Approximately 18 hours after taking the first dose, the swelling started.  At first it was just a small portion of my upper lip.  By the end of dinner, it was my whole upper lip.  It looked like a collagen treatment gone bad.  I didn't go to the emergency room that night, because I knew it wasn't an allergic reaction, but when I got up the next morning and the swelling was moving into the skin directly under my nose, I did go to an urgent care clinic.  Luckily my fears weren't completely justified.  I was told not to take any more of the meds and to take a steroid for 5 days to mitigate the effects of the Lisoprinil as it worked it's way out of my system.  Thank heavens the swelling went down.  I was getting all kinds of stares.  My boyfriend jokingly referred to it as duck lips once we both knew it was something that could be easily treated.  It's funny now, but scared the heck out of me when I saw how much swelling was present.  Be careful with this one!",1,Female,,4,,,
45-54,High Blood Pressure,3/22/2009,AmoxID1,5,4, ,4,Male,,0,,,
45-54,High Blood Pressure,3/22/2009,AmoxID1,4,4,"Drymouth,coughing, an side pain an dizzyness",4,Male,,4,,,
35-44,High Blood Pressure,3/20/2009,AmoxID1,4,4,"Unfortunately I forgot this med causes cough. I went to 3 different Dr's/Nurse Pract. at the same practice. They all gave me Z-pak antibiotics and cough medicine. The problem came back after 10 months, then 5 months, then 2 months. Finally I got in to my prescribing Doctor. The first thing he said was ""AmoxID1 causes cough"" and took me off it.",1, ,,10,,,
45-54,High Blood Pressure,3/19/2009,AmoxID1,5,5,"Been on it a month (5mg).  No noticeable side effects and it appears to be working in bringing down my BP. I am about 30 lbs overweight and I am also combining this with walking, drinking a lot of water, and overhaul of my diet which may be helping also.",5,Female,,9,,,
35-44,High Blood Pressure,3/19/2009,AmoxID1,4,4,"The medicine is working; however the side effects are awful.  I am experiencing severe dizziness, neck pains, side aches, and ligtheadedness.  ",1,Female,,10,,,
55-64,High Blood Pressure,3/19/2009,AmoxID1,4,4,I am wondering if this medicine can cause you to have coughing episodes.,4,Female,,11,,,
45-54,Kidney Disease from Diabetes,3/18/2009,AmoxID1,5,5,Worked great for blood pressure and edema but gave me the most anoying cough that I have ever experienced.,3,Female,,12,,,
45-54,High Blood Pressure,3/18/2009,AmoxID1,5,5,"i have been taking 5 MG of linsinopril for about 2 and a half weeks.  my blood pressure has gone down from the low 150's/low 90's to low 130's/low 80's.  i am sleeping OK, and no cough (yet?), no dizziness (yet?) but the medicine leaves an awful bitter/salty/metallic taste in my mouth 24/7 that i can't get rid off despite my best oral hygiene efforts.  has anyone else experienced this? the taste is very intense and gross. i am considering trying another medication.",2,Female,,3,,,
.,High Blood Pressure,3/18/2009,AmoxID1,4,2,"Been on it for 2 months. Take 20 mg. at night which causes extreme dry mouth, stomach upset, and severe leg cramps! Toss and turn all night. Dr. said to stop taking it temporarily, and I have. BP back up. Will try again in a 2-3 weeks to see if symptoms return.",2,Female,,4,,,
45-54,High Blood Pressure,3/18/2009,AmoxID1,5,5,This drug has lower my blood pressure and I have a good night sleep.,5,Female,,4,,,
45-54,High Blood Pressure,3/18/2009,AmoxID1,5,5,Only on it for 4 weeks so far for high BP (5 mg).  It appears to be working and I've  not experienced any dizziness or coughing as others have.  I am presently about 30 lbs overweight and I pretty much know that's a good portion of my BP problem anyway so I also started walking again - about 2 miles a day and do some lifting of low weight dumbells about 3 nights a week and drink a lot more water to flush my system.  Maybe this is helping keep away  some of these symptoms.  Also have elderly father in home who cannot use salt so low sodium has always been a way of life here which also helps so we'll see how continued use gets.  ,5,Female,,6,,,
65-74,High Blood Pressure,3/18/2009,AmoxID1,5,.," five days on medication, dizziness, loss of balance. up set stomach.",1,Male,,5,,,
75 or over,High Blood Pressure,3/18/2009,AmoxID1,4,4,low blood pressure.,3,Male,,2,,,
25-34,High Blood Pressure,3/17/2009,AmoxID1,4,4,"Took medication for 6 months. Within 1 month felt a pain in my side. Took colon cleanser, pain went away. Between the fourth and fifth month notice my hair breaking off and face breaking out. Went to doctor and change to Norvasc.",3,Female,,4,,,
35-44,High Blood Pressure,3/16/2009,AmoxID1,5,3,MY BP HAS GONE DOWN BUT IAM ALWAYS DIZZY AND HAVE DBL VISION MUSCLE WEAKNESS I HAVE LOST MY INS AND HAVE 3 REFILLS ITS CHEAP AT ONLY 10.00 I HAVE TO STAY ON IT TILL I CAN AFORD TO GO TO THE DOC,1,Female,,5,,,
55-64,High Blood Pressure,3/16/2009,AmoxID1,5,5, ,5,Male,,3,,,
55-64,High Blood Pressure,3/16/2009,AmoxID1,5,3,"The first couple of months AmoxID1 worked fine then I started aching, couldn't sleep all night. Now I have extreme anxiety and pressure spikes bad enough to pass out. The worst spike was 175 over 134 with a pulse of 127 while not doing anything but sitting. This hurt so bad I thought I was going to die. Later, I was just evil acting to my loved ones for no reason other than being truly scared,",1,Female,,12,,,
45-54,High Blood Pressure,3/16/2009,AmoxID1,3,2,"In taking this medicine I've had neck pain on left side, numbness in fingers and feet, acne flare up (48 years old),cough, sore throat, fatige so bad was in bed for two days. Quit medicine two days ago and trying to get back to normal.  Going back to Dr. to try and get another medication for high blood pressure.  Did get blood pressure down but not worth the side effects.",1,Female,,9,,,
45-54,High Blood Pressure,3/16/2009,AmoxID1,5,5,"I was on this medicine for over five years, during which time my blood pressure was well-controlled and I experienced none of the side effects others have reported (coughing, muscle weakness, etc.).  However, I had a sudden allergic reaction which landed me in the emergency room after my tongue swelled so badly that it was affecting my breathing.  This has happened to two other people I know -- coincidentally all of use middle-aged African Americans.  After doing some research, I discovered that the incidence of allergic reactions to ACE inhibitors is approximately doubled in the African-American population than in the general population. ",1,Female,,8,,,
45-54,High Blood Pressure,3/16/2009,AmoxID1,1,3,"I wanted to stay with this drug because of the helpful effects regarding kidney disease/diabetes. I can NO longer put up with increased dizzy spells(sitting,standing or lying down) Heart palpatations etc. My doctor does not seem concerned. After months of complaining I have gone from 40 mgs to 5 to Nothing because I was still symptomatic on 5 mgs. I refuse to take this drug anymore, I can't afford the trips to the ER for low pressure . I had never been to this or similar sites until today. symptom list is identical to mine. I don't like this drug at all.",1,Female,,6,,,
25-34,High Blood Pressure,3/16/2009,AmoxID1,4,4, ,4,Female,,0,,,
45-54,High Blood Pressure,3/15/2009,AmoxID1,4,1,"I've taken AmoxID1 for about 2 and a half months. No significant improvement in BP.I had 3 symptoms, hair loss, difficulty urinating with a full bladder and no sex drive. I went off the medication for 2 weeks and lost all symptoms. Got back on and symptoms started again in 2 days. Plannign to call my DR adn change medication. ",1,Male,,7,,,
55-64,High Blood Pressure,3/15/2009,AmoxID1,1,4,"I have tried this medication twice with the same results. It lowered my blood pressure, but I have a sore throat, dizzy, body aches, a cough that won't go away, extremely tired cannot work, no sex drive, I feel like I have the flu.  Today I stop the meds going back to doc 3 days. ",1,Male,,12,,,
35-44,High Blood Pressure,3/14/2009,AmoxID1,5,5,Tired and vision not clear sometimes. I'm sure it will kick in and I will get used to it. As long as I don't pass out again I will try anything!,5,Female,,4,,,
35-44,High Blood Pressure,3/14/2009,AmoxID1,5,4, ,4,Male,,2,,,
45-54,High Blood Pressure,3/14/2009,AmoxID1,1,2,"I have been on this medicine for two and a half weeks at first ok then the last three days woke up feeling very anxious BP 177/88 was getting heady over all not likeing it,lost my apatite had more energy those were the good things went to Dr. told him he dismissed my side affects doubled it to 40mg Then I was feeling heart pounding out of my chest, weak ,215/112 took Norvasc that same day twice 5mg then 5mg I think I would of gone to the hospital otherwise he did mention they could be mixed but I wouldn't recommend mixing I got lucky. Finding new Dr. one that will listen to me.",1,Female,,6,,,
.,High Blood Pressure,3/14/2009,AmoxID1,5,4, ,5,Female,,0,,,
45-54,High Blood Pressure,3/13/2009,AmoxID1,5,5,"In the morning i feel the difference when i thake it.I feel energic my hand dont have that much fluid.I like taken it every morning at the same time.

Mari",5,Female,,1,,,
55-64,High Blood Pressure,3/13/2009,AmoxID1,4,2,"Have recently begun taking AmoxID1 due to Insurance cutbacks on my Zestril. My co-pay was increased, which made AmoxID1 much cheaper. I feel lousy on the AmoxID1, light-headed, spacey, not focused, unusual knee pain, and drowsy.  I plan to go back to Zestril immediately.  It did a great job for me, kept my BP down, without any side effects.  AmoxID1 has not kept my numbers as low as they should be.  BP is elevated, and the air-headedness is ridiculous.  I even got a speeding ticket!  Haven't had one in 40 yrs! Just wasn't focused on my driving, which is unusual.  That's dangerous.  Returning to my Zestril...pronto!  You get what you pay for in this world. I won't skimp on meds again....",1,Female,,9,,,
